,administrative_district,american_indian_alaskan_native_expulsions,american_indian_alaskan_native_principal,american_indian_alaskan_native_removals,american_indian_alaskan_native_superintendent,asian_expulsions,asian_principal,asian_removals,asian_superintendent,black_expulsions,black_principal,black_removals,black_superintendent,dbn,hispanic_expulsions,hispanic_principal,hispanic_removals,hispanic_superintendent,location_category,location_name,multi_racial_expulsions,multi_racial_principal,multi_racial_removals,multi_racial_superintendent,unknown_expulsions,unknown_principal,unknown_removals,unknown_superintendent,white_expulsions,white_principal,white_removals,white_superintendent
0,1,*,*,*,*,*,*,*,*,*,*,*,*,01M015,*,*,*,*,Elementary,P.S. 015 Roberto Clemente,*,*,*,*,*,*,*,*,*,*,*,*
1,1,*,*,*,*,*,*,*,*,*,*,*,*,01M019,*,*,*,*,Elementary,P.S. 019 Asher Levy,*,*,*,*,*,*,*,*,*,*,*,*
2,1,*,*,*,*,*,*,*,*,*,*,*,*,01M020,*,*,8,*,Elementary,P.S. 020 Anna Silver,*,*,*,*,*,*,*,*,*,*,*,*
3,1,*,*,*,*,*,*,*,*,*,10,12,9,01M034,*,13,14,*,K-8,P.S. 034 Franklin D. Roosevelt,*,*,*,*,*,*,*,*,*,*,*,*
4,1,*,*,*,*,*,*,*,*,*,*,21,*,01M063,*,*,22,*,Elementary,The STAR Academy - P.S.63,*,*,*,*,*,*,*,*,*,*,*,*
5,1,*,*,*,*,*,*,*,*,*,*,*,*,01M064,*,*,*,*,Elementary,P.S. 064 Robert Simon,*,*,*,*,*,*,*,*,*,*,*,*
6,1,*,*,*,*,*,*,*,*,*,*,*,*,01M110,*,*,*,*,Elementary,P.S. 110 Florence Nightingale,*,*,*,*,*,*,*,*,*,*,*,*
7,1,*,*,*,*,*,*,*,*,*,*,*,*,01M134,*,*,*,*,Elementary,P.S. 134 Henrietta Szold,*,*,*,*,*,*,*,*,*,*,*,*
8,1,*,*,*,*,*,*,*,*,*,*,*,*,01M137,*,*,*,*,Elementary,P.S. 137 John L. Bernstein,*,*,*,*,*,*,*,*,*,*,*,*
9,1,*,*,*,*,*,*,*,*,*,*,*,*,01M140,*,8,6,*,K-8,P.S. 140 Nathan Straus,*,*,*,*,*,*,*,*,*,*,*,*
10,1,*,*,*,*,*,*,*,*,*,*,*,*,01M142,*,*,*,*,Elementary,P.S. 142 Amalia Castro,*,*,*,*,*,*,*,*,*,*,*,*
11,1,*,*,*,*,*,*,*,*,*,*,*,*,01M184,*,*,*,*,K-8,P.S. 184m Shuang Wen,*,*,*,*,*,*,*,*,*,*,*,*
12,1,*,*,*,*,*,*,*,*,*,13,*,9,01M188,*,8,*,10,K-8,P.S. 188 The Island School,*,*,*,*,*,*,*,*,*,*,*,*
13,1,*,*,*,*,*,*,*,*,*,9,*,*,01M292,*,8,*,*,Secondary School,Henry Street School for International Studies,*,*,*,*,*,*,*,*,*,*,*,*
14,1,*,*,*,*,*,*,*,*,*,*,*,6,01M301,*,*,*,*,Junior High-Intermediate-Middle,"Technology, Arts, and Sciences Studio",*,*,*,*,*,*,*,*,*,*,*,*
15,1,*,*,*,*,*,*,*,*,*,*,*,*,01M315,*,*,*,*,Elementary,The East Village Community School,*,*,*,*,*,*,*,*,*,*,*,*
16,1,*,*,*,*,*,*,*,*,*,*,*,*,01M332,*,*,*,*,Junior High-Intermediate-Middle,University Neighborhood Middle School,*,*,*,*,*,*,*,*,*,*,*,*
17,1,*,*,*,*,*,*,*,*,*,7,12,*,01M345,*,*,16,*,Junior High-Intermediate-Middle,"Collaborative Academy of Science, Technology, & La",*,*,*,*,*,*,*,*,*,*,*,*
18,1,*,*,*,*,*,*,*,*,*,*,*,*,01M361,*,*,*,*,Elementary,The Children's Workshop School,*,*,*,*,*,*,*,*,*,*,*,*
19,1,*,*,*,*,*,*,*,*,*,*,*,*,01M363,*,*,*,*,Elementary,Neighborhood School,*,*,*,*,*,*,*,*,*,*,*,*
20,1,*,*,*,*,*,*,*,*,*,*,*,*,01M364,*,*,*,*,Elementary,Earth School,*,*,*,*,*,*,*,*,*,*,*,*
21,1,*,*,*,*,*,*,*,*,*,6,*,*,01M378,*,*,*,*,Junior High-Intermediate-Middle,School for Global Leaders,*,*,*,*,*,*,*,*,*,*,*,*
22,1,*,*,*,*,*,*,*,*,*,*,*,*,01M444,*,*,*,*,Central-HQ-Citywide,Home Schooling,*,*,*,*,*,*,*,*,*,*,*,*
23,1,*,*,*,*,*,*,*,*,*,6,*,*,01M448,*,8,*,*,High school,University Neighborhood High School,*,*,*,*,*,*,*,*,*,*,*,*
24,1,*,*,*,*,*,*,*,*,*,*,*,*,01M450,*,*,*,6,Secondary School,East Side Community School,*,*,*,*,*,*,*,*,*,*,*,*
25,1,*,*,*,*,*,*,*,*,*,12,*,*,01M458,*,7,*,*,High school,Forsyth Satellite Academy,*,*,*,*,*,*,*,*,*,*,*,*
26,1,*,*,*,*,*,*,*,*,*,18,*,12,01M509,*,8,*,6,High school,Marta Valle High School,*,*,*,*,*,*,*,*,*,*,*,*
27,1,*,*,*,*,*,*,*,*,*,*,*,*,01M515,*,*,*,*,High school,Lower East Side Preparatory High School,*,*,*,*,*,*,*,*,*,*,*,*
28,1,*,*,*,*,*,*,*,*,*,*,*,*,01M539,*,*,*,*,K-12 all grades,"New Explorations into Science, Technology and Math",*,*,*,*,*,*,*,*,*,*,*,*
29,1,*,*,*,*,*,*,*,*,*,*,*,*,01M650,*,*,*,*,High school,Cascades High School,*,*,*,*,*,*,*,*,*,*,*,*
30,1,*,*,*,*,*,*,*,*,*,*,*,*,01M696,*,*,*,*,High school,Bard High School Early College,*,*,*,*,*,*,*,*,*,*,*,*
31,1,*,*,*,*,*,*,*,*,*,*,*,*,01M839,*,*,*,*,Junior High-Intermediate-Middle,Tompkins Square Middle School,*,*,*,*,*,*,*,*,*,*,*,*
32,2,*,*,*,*,*,*,*,*,*,*,7,*,02M001,*,*,*,*,Elementary,P.S. 001 Alfred E. Smith,*,*,*,*,*,*,*,*,*,*,*,*
33,2,*,*,*,*,*,*,*,*,*,*,*,*,02M002,*,*,*,*,Elementary,P.S. 002 Meyer London,*,*,*,*,*,*,*,*,*,*,*,*
34,2,*,*,*,*,*,*,*,*,*,*,*,*,02M003,*,*,*,*,Elementary,P.S. 003 Charrette School,*,*,*,*,*,*,*,*,*,*,*,*
35,2,*,*,*,*,*,*,*,*,*,*,*,*,02M006,*,*,*,*,Elementary,P.S. 006 Lillie D. Blake,*,*,*,*,*,*,*,*,*,*,8,*
36,2,*,*,*,*,*,*,*,*,*,*,*,*,02M011,*,*,*,*,Elementary,P.S. 011 William T. Harris,*,*,*,*,*,*,*,*,*,*,*,*
37,2,*,*,*,*,*,*,*,*,*,*,*,*,02M033,*,*,*,*,Elementary,P.S. 033 Chelsea Prep,*,*,*,*,*,*,*,*,*,*,*,*
38,2,*,*,*,*,*,*,*,*,*,*,*,*,02M040,*,*,*,*,Elementary,P.S. 040 Augustus Saint-Gaudens,*,*,*,*,*,*,*,*,*,*,*,*
39,2,*,*,*,*,*,*,*,*,*,*,*,*,02M041,*,*,*,*,Elementary,P.S. 041 Greenwich Village,*,*,*,*,*,*,*,*,*,*,*,*
40,2,*,*,*,*,*,*,*,*,*,*,*,*,02M042,*,*,*,*,Elementary,P.S. 042 Benjamin Altman,*,*,*,*,*,*,*,*,*,*,*,*
41,2,*,*,*,*,*,*,*,*,*,6,*,*,02M047,*,*,*,*,High school,47 The American Sign Language and English Secondar,*,*,*,*,*,*,*,*,*,*,*,*
42,2,*,*,*,*,*,*,*,*,*,*,*,*,02M051,*,*,*,*,Elementary,P.S. 051 Elias Howe,*,*,*,*,*,*,*,*,*,*,*,*
43,2,*,*,*,*,*,*,*,*,*,*,*,*,02M059,*,*,*,*,Elementary,P.S. 059 Beekman Hill International,*,*,*,*,*,*,*,*,*,*,*,*
44,2,*,*,*,*,*,*,*,*,*,*,*,*,02M077,*,*,*,*,Elementary,P.S. 77 Lower Lab School,*,*,*,*,*,*,*,*,*,*,*,*
45,2,*,*,*,*,*,*,*,*,*,*,*,*,02M089,*,*,*,*,Elementary,P.S. 89,*,*,*,*,*,*,*,*,*,*,*,*
46,2,*,*,*,*,*,*,*,*,*,21,*,*,02M104,*,18,*,*,Junior High-Intermediate-Middle,J.H.S. 104 Simon Baruch,*,*,*,*,*,*,*,*,*,*,6,*
47,2,*,*,*,*,*,*,*,*,*,*,*,*,02M111,*,*,10,*,Elementary,P.S. 111 Adolph S. Ochs,*,*,*,*,*,*,*,*,*,*,*,*
48,2,*,*,*,*,*,*,*,*,*,*,*,*,02M114,*,*,*,*,Junior High-Intermediate-Middle,East Side Middle School,*,*,*,*,*,*,*,*,*,*,*,*
49,2,*,*,*,*,*,*,*,*,*,*,*,*,02M116,*,*,*,*,Elementary,P.S. 116 Mary Lindley Murray,*,*,*,*,*,*,*,*,*,*,*,*
50,2,*,*,*,*,*,6,21,*,*,*,*,*,02M124,*,*,*,*,Elementary,P.S. 124 Yung Wing,*,*,*,*,*,*,*,*,*,*,*,*
51,2,*,*,*,*,*,*,*,*,*,*,*,*,02M126,*,*,*,*,K-8,P.S. 126 Jacob August Riis,*,*,*,*,*,*,*,*,*,*,*,*
52,2,*,*,*,*,*,*,*,*,*,*,*,*,02M130,*,*,*,*,Elementary,P.S. 130 Hernando De Soto,*,*,*,*,*,*,*,*,*,*,*,*
53,2,*,*,*,*,*,*,*,*,*,14,*,*,02M131,*,11,*,*,Junior High-Intermediate-Middle,M.S. 131,*,*,*,*,*,*,*,*,*,*,*,*
54,2,*,*,*,*,*,*,*,*,*,22,12,*,02M135,*,18,12,*,High school,The Urban Assembly School for Emergency Management,*,*,*,*,*,*,*,*,*,*,*,*
55,2,*,*,*,*,*,*,*,*,*,*,*,*,02M139,*,25,*,*,High school,Stephen T. Mather Building Arts & Craftsmanship Hi,*,*,*,*,*,*,*,*,*,6,*,*
56,2,*,*,*,*,*,*,*,*,*,*,*,*,02M150,*,*,*,*,Elementary,P.S. 150,*,*,*,*,*,*,*,*,*,*,*,*
57,2,*,*,*,*,*,*,*,*,*,*,9,*,02M151,*,*,*,*,Elementary,Yorkville Community School,*,*,*,*,*,*,*,*,*,*,*,*
58,2,*,*,*,*,*,*,*,*,*,*,*,*,02M158,*,*,6,*,Elementary,P.S. 158 Bayard Taylor,*,*,*,*,*,*,*,*,*,*,*,*
59,2,*,*,*,*,*,*,*,*,*,12,*,*,02M167,*,14,*,*,Junior High-Intermediate-Middle,J.H.S. 167 Robert F. Wagner,*,*,*,*,*,*,*,*,*,7,*,*
60,2,*,*,*,*,*,*,*,*,*,*,*,*,02M177,*,*,*,*,Junior High-Intermediate-Middle,Yorkville East Middle School,*,*,*,*,*,*,*,*,*,*,*,*
61,2,*,*,*,*,*,*,*,*,*,*,*,*,02M183,*,*,*,*,Elementary,P.S. 183 Robert L. Stevenson,*,*,*,*,*,*,*,*,*,*,*,*
62,2,*,*,*,*,*,*,*,*,*,*,*,*,02M198,*,*,*,*,Elementary,P.S. 198 Isador E. Ida Straus,*,*,*,*,*,*,*,*,*,*,*,*
63,2,*,*,*,*,*,*,*,*,*,*,*,*,02M212,*,*,*,*,Elementary,P.S. 212 Midtown West,*,*,*,*,*,*,*,*,*,*,*,*
64,2,*,*,*,*,*,*,6,*,*,12,21,*,02M217,*,6,7,*,K-8,P.S./I.S. 217 Roosevelt Island,*,*,*,*,*,*,*,*,*,*,8,*
65,2,*,*,*,*,*,*,*,*,*,*,*,*,02M225,*,*,*,*,K-8,Ella Baker School,*,*,*,*,*,*,*,*,*,*,*,*
66,2,*,*,*,*,*,*,*,*,*,*,*,*,02M234,*,*,*,*,Elementary,P.S. 234 Independence School,*,*,*,*,*,*,*,*,*,*,*,*
67,2,*,*,*,*,*,*,*,*,*,*,*,*,02M255,*,*,*,*,Junior High-Intermediate-Middle,M.S. 255 Salk School of Science,*,*,*,*,*,*,*,*,*,*,*,*
68,2,*,*,*,*,*,*,*,*,*,*,*,*,02M260,*,*,*,*,Secondary School,M.S. 260 Clinton School Writers & Artists,*,*,*,*,*,*,*,*,*,*,*,*
69,2,*,*,*,*,*,*,*,*,*,*,*,*,02M267,*,*,*,*,Elementary,"East Side Elementary School, PS 267",*,*,*,*,*,*,*,*,*,*,*,*
70,2,*,*,*,*,*,*,*,*,*,*,6,*,02M276,*,*,*,*,K-8,Battery Park City School,*,*,*,*,*,*,*,*,*,7,15,*
71,2,*,*,*,*,*,*,*,*,*,*,*,*,02M280,*,7,*,*,High school,Manhattan Early College School for Advertising,*,*,*,*,*,*,*,*,*,*,*,*
72,2,*,*,*,*,*,*,*,*,*,*,*,*,02M281,*,*,*,*,Elementary,The River School,*,*,*,*,*,*,*,*,*,*,*,*
73,2,*,*,*,*,*,*,*,*,*,16,*,*,02M282,*,21,*,*,High school,Urban Assembly Maker Academy,*,*,*,*,*,*,*,*,*,6,*,*
74,2,*,*,*,*,*,*,*,*,*,36,*,10,02M288,*,16,*,*,High school,Food and Finance High School,*,*,*,*,*,*,*,*,*,*,*,*
75,2,*,*,*,*,*,*,*,*,*,8,*,*,02M289,*,*,*,*,Junior High-Intermediate-Middle,I.S. 289,*,*,*,*,*,*,*,*,*,*,*,*
76,2,*,*,*,*,*,*,*,*,*,*,*,*,02M290,*,*,*,*,Elementary,P.S. 290 Manhattan New School,*,*,*,*,*,*,*,*,*,*,*,*
77,2,*,*,*,*,*,*,*,*,*,*,*,*,02M294,*,*,*,*,High school,Essex Street Academy,*,*,*,*,*,*,*,*,*,*,*,*
78,2,*,*,*,*,*,*,*,*,*,27,*,*,02M296,*,35,*,*,High school,High School of Hospitality Management,*,*,*,*,*,*,*,*,*,*,*,*
79,2,*,*,*,*,*,*,*,*,*,7,*,*,02M298,*,7,*,*,High school,Pace High School,*,*,*,*,*,*,*,*,*,*,*,*
80,2,*,*,*,*,*,*,*,*,*,6,*,*,02M300,*,*,*,*,High school,"Urban Assembly School of Design and Construction,",*,*,*,*,*,*,*,*,*,*,*,*
81,2,*,*,*,*,*,*,*,*,*,*,*,*,02M303,*,7,*,*,High school,"Facing History School, The",*,*,*,*,*,*,*,*,*,*,*,*
82,2,*,*,*,*,*,*,*,*,*,51,7,9,02M305,*,23,*,12,High school,"Urban Assembly Academy of Government and Law, The",*,*,*,*,*,*,*,*,*,*,*,*
83,2,*,*,*,*,*,*,*,*,*,18,*,*,02M308,*,22,*,*,High school,Lower Manhattan Arts Academy,*,*,*,*,*,*,*,*,*,*,*,*
84,2,*,*,*,*,*,*,*,*,*,*,*,*,02M312,*,*,*,*,Junior High-Intermediate-Middle,New York City Lab Middle School for Collaborative,*,*,*,*,*,*,*,*,*,*,10,*
85,2,*,*,*,*,*,*,*,*,*,*,*,*,02M313,*,*,*,*,High school,"James Baldwin School, The: A School for Expedition",*,*,*,*,*,*,*,*,*,*,*,*
86,2,*,*,*,*,*,*,*,*,*,12,9,20,02M316,*,*,*,*,High school,"Urban Assembly School of Business for Young Women,",*,*,*,*,*,*,*,*,*,*,*,*
87,2,*,*,*,*,*,*,*,*,*,*,*,*,02M340,*,*,*,*,Elementary,Sixth Avenue Elementary School,*,*,*,*,*,*,*,*,*,*,*,*
88,2,*,*,*,*,*,*,*,*,*,*,*,*,02M343,*,*,*,*,Elementary,The Peck Slip School,*,*,*,*,*,*,*,*,*,*,*,*
89,2,*,*,*,*,*,*,*,*,*,*,*,*,02M347,*,*,10,*,K-8,The 47 American Sign Language & English Lower Scho,*,*,*,*,*,*,*,*,*,*,*,*
90,2,*,*,*,*,*,*,*,*,*,25,*,*,02M374,*,10,*,*,High school,Gramercy Arts High School,*,*,*,*,*,*,*,*,*,*,*,*
91,2,*,*,*,*,*,*,*,*,*,*,*,*,02M376,*,*,*,*,High school,NYC iSchool,*,*,*,*,*,*,*,*,*,*,*,*
92,2,*,*,*,*,*,*,*,*,*,*,*,*,02M391,*,*,*,*,District Pre-K Center,District 2 Pre-K Center,*,*,*,*,*,*,*,*,*,*,*,*
93,2,*,*,*,*,*,*,*,*,*,44,11,8,02M392,*,57,*,6,High school,MANHATTAN BUSINESS ACADEMY,*,*,*,*,*,7,*,*,*,*,*,*
94,2,*,*,*,*,*,*,*,*,*,35,*,*,02M393,*,31,*,*,High school,Business Of Sports School,*,*,*,*,*,*,*,*,*,*,*,*
95,2,*,*,*,*,*,*,*,*,*,*,*,*,02M394,*,*,*,*,High school,Emma Lazarus High School,*,*,*,*,*,*,*,*,*,*,*,*
96,2,*,*,*,*,*,*,*,*,*,*,*,*,02M397,*,*,*,*,K-8,Spruce Street School,*,*,*,*,*,*,*,*,*,*,*,*
97,2,*,*,*,*,*,*,*,*,*,10,*,*,02M399,*,*,*,6,High school,The High School For Language And Diplomacy,*,*,*,*,*,*,*,*,*,*,*,*
98,2,*,*,*,*,*,*,*,*,*,15,*,15,02M400,*,22,*,21,High school,High School for Environmental Studies,*,*,*,*,*,*,*,*,*,*,*,*
99,2,*,*,*,*,*,*,*,*,*,*,*,*,02M407,*,*,*,*,Secondary School,Institute for Collaborative Education,*,*,*,*,*,*,*,*,*,*,*,*
100,2,*,*,*,*,*,*,*,*,*,*,*,*,02M408,*,*,*,*,Secondary School,Professional Performing Arts High School,*,*,*,*,*,*,*,*,*,*,*,*
101,2,*,*,*,*,*,*,*,*,*,*,*,*,02M411,*,*,*,*,High school,Baruch College Campus High School,*,*,*,*,*,*,*,*,*,7,*,*
102,2,*,*,*,*,*,*,*,*,*,*,*,*,02M412,*,*,*,*,High school,N.Y.C. Lab School for Collaborative Studies,*,*,*,*,*,*,*,*,*,9,*,*
103,2,*,*,*,*,*,*,*,*,*,*,*,*,02M413,*,*,*,*,Secondary School,School of the Future High School,*,*,*,*,*,*,*,*,*,*,*,*
104,2,*,*,*,*,*,*,*,*,*,*,*,*,02M414,*,*,*,*,High school,N.Y.C. Museum School,*,*,*,*,*,*,*,*,*,*,*,*
105,2,*,*,*,*,*,*,*,*,*,*,*,*,02M416,*,*,*,*,High school,Eleanor Roosevelt High School,*,*,*,*,*,*,*,*,*,6,*,*
106,2,*,*,*,*,*,*,*,*,*,*,*,*,02M418,*,*,*,*,High school,Millennium High School,*,*,*,*,*,*,*,*,*,*,*,*
107,2,*,*,*,*,*,*,*,*,*,*,*,7,02M419,*,*,*,*,High school,Landmark High School,*,*,*,*,*,*,*,*,*,*,*,*
108,2,*,*,*,*,*,*,*,*,*,24,*,*,02M420,*,29,*,*,High school,High School for Health Professions and Human Servi,*,*,*,*,*,*,*,*,*,*,*,*
109,2,*,*,*,*,*,*,*,*,*,12,*,*,02M422,*,26,11,*,Secondary School,Quest to Learn,*,*,*,*,*,*,*,*,*,7,*,*
110,2,*,*,*,*,*,*,*,*,*,22,*,6,02M425,*,28,*,7,High school,Leadership and Public Service High School,*,*,*,*,*,*,*,*,*,*,*,*
111,2,*,*,*,*,*,*,*,*,*,*,*,*,02M427,*,27,*,*,High school,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,*,*,*,*,*,*,*,*,*,*,*,*
112,2,*,*,*,*,*,*,*,*,*,29,*,*,02M432,*,22,*,*,High school,Murray Hill Academy,*,*,*,*,*,*,*,*,*,*,*,*
113,2,*,*,*,*,*,*,*,*,*,73,*,8,02M437,*,56,*,*,High school,Hudson High School of Learning Technologies,*,*,*,*,*,*,*,*,*,*,*,*
114,2,*,*,*,*,*,*,*,*,*,*,*,*,02M438,*,12,*,7,High school,International High School at Union Square,*,*,*,*,*,*,*,*,*,*,*,*
115,2,*,*,*,*,*,*,*,*,*,*,*,*,02M439,*,*,7,*,High school,Manhattan Village Academy,*,*,*,*,*,*,*,*,*,*,*,*
116,2,*,*,*,*,*,*,*,*,*,*,*,*,02M442,*,*,*,*,K-8,"Ballet Tech, NYC Public School for Dance",*,*,*,*,*,*,*,*,*,*,*,*
117,2,*,*,*,*,*,*,*,*,*,*,*,*,02M444,*,*,*,*,Central-HQ-Citywide,Home Schooling,*,*,*,*,*,*,*,*,*,*,*,*
118,2,*,*,*,*,*,*,*,*,*,*,*,*,02M449,*,8,*,*,High school,Vanguard High School,*,*,*,*,*,*,*,*,*,*,*,*
119,2,*,*,*,*,*,*,*,*,*,*,*,*,02M459,*,*,*,*,High school,Manhattan International High School,*,*,*,*,*,*,*,*,*,*,*,*
120,2,*,*,*,*,*,*,*,*,*,*,*,*,02M473,*,*,*,*,High school,Washington Irving Yabc,*,*,*,*,*,*,*,*,*,*,*,*
121,2,*,*,*,*,*,22,*,8,*,*,*,*,02M475,*,*,*,*,High school,Stuyvesant High School,*,*,*,*,*,*,*,*,*,12,*,*
122,2,*,*,*,*,*,*,*,*,*,8,*,*,02M489,*,*,*,*,High school,High School of Economics and Finance,*,*,*,*,*,*,*,*,*,*,*,*
123,2,*,*,*,*,*,*,*,*,*,*,*,*,02M500,*,*,*,*,High school,Unity Center for Urban Technologies,*,*,*,*,*,*,*,*,*,*,*,*
124,2,*,*,*,*,*,*,*,*,*,20,*,*,02M507,*,15,*,*,High school,Urban Assembly Gateway School for Technology,*,*,*,*,*,*,*,*,*,*,*,*
125,2,*,*,*,*,*,*,*,*,*,*,*,*,02M519,*,*,*,*,High school,Talent Unlimited High School,*,*,*,*,*,*,*,*,*,*,*,*
126,2,*,*,*,*,*,*,*,*,*,*,*,8,02M520,*,*,*,*,High school,Murry Bergtraum High School for Business Careers,*,*,*,*,*,*,*,*,*,*,*,*
127,2,*,*,*,*,*,*,*,*,*,*,*,*,02M527,*,*,*,*,Elementary,P.S. 527 - East Side School for Social Action,*,*,*,*,*,*,*,*,*,*,*,*
128,2,*,*,*,*,*,*,*,*,*,40,19,11,02M529,*,59,37,21,High school,Jacqueline Kennedy Onassis High School,*,*,*,*,*,*,*,*,*,*,*,*
129,2,*,*,*,*,*,*,*,*,*,*,*,*,02M531,*,*,*,*,High school,Repertory Company High School for Theatre Arts,*,*,*,*,*,*,*,*,*,*,*,*
130,2,*,*,*,*,*,*,*,*,*,*,*,*,02M533,*,*,*,*,High school,Union Square Academy for Health Sciences,*,*,*,*,*,*,*,*,*,*,*,*
131,2,*,*,*,*,*,*,*,*,*,12,*,*,02M534,*,15,*,*,High school,Harvest Collegiate High School,*,*,*,*,*,*,*,*,*,*,*,*
132,2,*,*,*,*,*,*,*,*,*,*,*,*,02M542,*,*,*,*,High school,Manhattan Bridges High School,*,*,*,*,*,*,*,*,*,*,*,*
133,2,*,*,*,*,*,*,*,*,*,*,*,9,02M543,*,*,*,14,High school,New Design High School,*,*,*,*,*,*,*,*,*,*,*,*
134,2,*,*,*,*,*,*,*,*,*,10,*,*,02M544,*,*,*,*,High school,Independence High School,*,*,*,*,*,*,*,*,*,*,*,*
135,2,*,*,*,*,*,*,*,*,*,*,*,*,02M545,*,*,*,*,High school,High School for Dual Language and Asian Studies,*,*,*,*,*,*,*,*,*,*,*,*
136,2,*,*,*,*,*,*,*,*,*,9,*,*,02M546,*,12,*,*,High school,Academy for Software Engineering,*,*,*,*,*,*,*,*,*,*,*,*
137,2,*,*,*,*,*,*,*,*,*,*,*,*,02M550,*,9,*,*,High school,Liberty High School Academy for Newcomers,*,*,*,*,*,*,*,*,*,*,*,*
138,2,*,*,*,*,*,*,*,*,*,7,*,7,02M551,*,12,*,*,High school,Urban Assembly New York Harbor School,*,*,*,*,*,*,*,*,*,10,*,*
139,2,*,*,*,*,*,*,*,*,*,*,*,*,02M560,*,*,*,*,High school,High School M560 - City As School,*,*,*,*,*,*,*,*,*,*,*,*
140,2,*,*,*,*,*,*,*,*,*,*,*,*,02M565,*,*,*,*,High school,Urban Academy Laboratory High School,*,*,*,*,*,*,*,*,*,*,*,*
141,2,*,*,*,*,*,*,*,*,*,*,*,*,02M570,*,*,*,*,High school,Satellite Academy High School,*,*,*,*,*,*,*,*,*,*,*,*
142,2,*,*,*,*,*,*,*,*,*,*,*,*,02M575,*,*,*,*,High school,Manhattan Comprehensive Night and Day High School,*,*,*,*,*,*,*,*,*,*,*,*
143,2,*,*,*,*,*,*,*,*,*,16,*,23,02M580,*,12,*,9,High school,Richard R. Green High School of Teaching,*,*,*,*,*,*,*,*,*,*,*,*
144,2,*,*,*,*,*,*,*,*,*,12,*,*,02M586,*,9,*,*,High school,Harvey Milk High School,*,*,*,*,*,*,*,*,*,*,*,*
145,2,*,*,*,*,*,*,*,*,*,14,*,*,02M600,*,12,*,*,High school,The High School of Fashion Industries,*,*,*,*,*,*,*,*,*,*,*,*
146,2,*,*,*,*,*,*,*,*,*,*,*,*,02M605,*,*,*,*,High school,Humanities Preparatory Academy,*,*,*,*,*,*,*,*,*,*,*,*
147,2,*,*,*,*,*,*,*,*,*,11,*,*,02M615,*,11,*,*,High school,Chelsea Career and Technical Education High School,*,*,*,*,*,*,*,*,*,*,*,*
148,2,*,*,*,*,*,*,*,*,*,*,*,*,02M625,*,*,*,*,High school,High School of Graphic Communication Arts,*,*,*,*,*,*,*,*,*,*,*,*
149,2,*,*,*,*,*,*,*,*,*,23,*,*,02M630,*,26,*,*,High school,Art and Design High School,*,*,*,*,*,*,*,*,*,6,*,*
150,2,*,*,*,*,*,*,*,*,*,56,*,29,02M655,*,34,*,21,Secondary School,Life Sciences Secondary School,*,*,*,*,*,*,*,*,*,*,*,*
151,2,*,*,*,*,*,*,*,*,*,*,*,*,02M893,*,*,*,*,Junior High-Intermediate-Middle,Jacob Riis School,*,*,*,*,*,*,*,*,*,*,*,*
152,2,*,*,*,*,*,*,*,*,*,*,*,*,02M896,*,*,*,*,Junior High-Intermediate-Middle,Lower Manhattan Community Middle School,*,*,*,*,*,*,*,*,*,*,*,*
153,2,*,*,*,*,*,*,*,*,*,*,*,*,02M902,*,*,*,*,Ungraded,Washington Irving Evng Hs T/R @NTHS,*,*,*,*,*,*,*,*,*,*,*,*
154,2,*,*,*,*,*,*,*,*,*,6,*,*,02M933,*,*,*,*,Junior High-Intermediate-Middle,City Knoll Middle School,*,*,*,*,*,*,*,*,*,*,*,*
155,2,*,*,*,*,*,*,*,*,*,*,*,*,02M972,*,*,*,*,High school,Office of Academic Policy,*,*,*,*,*,*,*,*,*,*,*,*
156,3,*,*,*,*,*,*,*,*,*,*,*,*,03M009,*,*,6,*,Elementary,P.S. 009 Sarah Anderson,*,*,*,*,*,*,*,*,*,*,9,*
157,3,*,*,*,*,*,*,*,*,*,14,16,*,03M054,*,9,12,*,Junior High-Intermediate-Middle,J.H.S. 054 Booker T. Washington,*,*,*,*,*,*,*,*,*,*,9,*
158,3,*,*,*,*,*,*,*,*,*,*,*,*,03M075,*,*,*,*,Elementary,P.S. 075 Emily Dickinson,*,*,*,*,*,*,*,*,*,*,*,*
159,3,*,*,*,*,*,*,*,*,*,20,38,19,03M076,*,*,*,*,K-8,P.S. 076 A. Philip Randolph,*,*,*,*,*,*,*,*,*,*,*,*
160,3,*,*,*,*,*,*,*,*,*,*,15,*,03M084,*,*,9,*,Elementary,P.S. 084 Lillian Weber,*,*,*,*,*,*,*,*,*,*,*,*
161,3,*,*,*,*,*,*,*,*,*,*,*,*,03M087,*,*,*,*,Elementary,P.S. 087 William Sherman,*,*,*,*,*,*,*,*,*,*,*,*
162,3,*,*,*,*,*,*,*,*,*,*,*,*,03M145,*,*,*,*,Elementary,"P.S. 145, The Bloomingdale School",*,*,*,*,*,*,*,*,*,*,*,*
163,3,*,*,*,*,*,*,*,*,*,10,10,*,03M149,*,*,*,*,K-8,P.S. 149 Sojourner Truth,*,*,*,*,*,*,*,*,*,*,*,*
164,3,*,*,*,*,*,*,*,*,*,*,6,*,03M163,*,*,*,*,Elementary,P.S. 163 Alfred E. Smith,*,*,*,*,*,*,*,*,*,*,*,*
165,3,*,*,*,*,*,*,*,*,*,6,13,*,03M165,*,*,27,7,K-8,P.S. 165 Robert E. Simon,*,*,*,*,*,*,*,*,*,*,*,*
